,iteration,time,id,x,y,dx,dy
76,76,1.2666666666666666,0,346.63522,241.76677,-0.20721436,0.07019043
77,77,1.2833333333333334,0,347.1561,241.77425,0.520874,0.0074768066
78,78,1.3,0,346.64246,241.781,-0.51364136,0.0067596436
79,79,1.3166666666666667,0,347.18048,241.8552,0.5380249,0.07418823
80,80,1.3333333333333333,0,346.64612,241.78455,-0.5343628,-0.07064819
81,81,1.35,0,346.97397,241.81044,0.32785034,0.025894165
82,82,1.3666666666666667,0,346.81015,241.62692,-0.16381836,-0.18351746
83,83,1.3833333333333333,0,346.7687,241.8801,-0.04144287,0.25317383
84,84,1.4,0,346.97116,241.80415,0.20245361,-0.07594299
85,85,1.4166666666666667,0,346.6136,241.78932,-0.35757446,-0.014831543
86,86,1.4333333333333333,0,347.11646,241.7877,0.50286865,-0.0016174316
87,87,1.45,0,346.61224,241.77206,-0.5042114,-0.015640259
88,88,1.4666666666666666,0,347.06027,241.92372,0.44802856,0.1516571
89,89,1.4833333333333334,0,346.77313,241.70615,-0.2871399,-0.21757507
90,90,1.5,0,346.77008,241.77774,-0.0030517578,0.07159424
91,91,1.5166666666666666,0,346.9531,241.65771,0.18301392,-0.120025635
92,92,1.5333333333333334,0,346.53726,241.78563,-0.41583252,0.12791443
93,93,1.55,0,347.04642,241.89214,0.5091553,0.10650635
94,94,1.5666666666666667,0,346.55927,242.00392,-0.4871521,0.11178589
95,95,1.5833333333333333,0,347.15112,242.1907,0.5918579,0.18678284
96,96,1.6,0,346.6046,242.11258,-0.5465088,-0.078125
97,97,1.6166666666666667,0,346.8453,242.19955,0.24069214,0.0869751
98,98,1.6333333333333333,0,346.84433,242.10303,-0.0009765625,-0.0965271
99,99,1.65,0,346.58496,242.20782,-0.2593689,0.10479736
100,100,1.6666666666666667,0,347.0584,242.07329,0.4734497,-0.13453674
101,101,1.6833333333333333,0,346.56235,242.08823,-0.49606323,0.0149383545
102,102,1.7,0,347.22064,242.2093,0.6582947,0.12107849
103,103,1.7166666666666666,0,346.54913,242.02998,-0.6715088,-0.17932129
104,104,1.7333333333333334,0,346.90646,242.34569,0.35733032,0.31570435
105,105,1.75,0,346.71814,242.06099,-0.18832397,-0.2846985
106,106,1.7666666666666666,0,346.59146,242.10847,-0.12667847,0.04748535
107,107,1.7833333333333334,0,346.9018,242.1024,0.31033325,-0.006072998
