seconds, accX, accY, accZ, temp
1,-0.21,1.02,0.09,43.10
1,-0.11,0.89,0.09,48.55
1,0.07,1.16,0.03,48.55
1,0.08,1.01,0.07,42.82
1,0.14,1.01,0.10,46.30
1,-0.03,0.90,0.22,46.30
1,-0.20,1.04,0.16,43.92
1,-0.20,1.00,0.11,47.40
1,-0.17,0.88,0.11,47.13
1,0.03,1.12,0.04,43.99
1,0.03,1.07,0.06,43.36
1,0.17,1.07,0.06,46.30
1,0.01,0.90,0.18,46.30
1,0.06,1.03,0.21,45.27
1,-0.19,1.03,0.19,42.22
1,-0.20,0.91,0.13,42.22
1,-0.04,1.05,0.06,42.96
1,-0.04,1.05,0.04,46.14
1,0.16,1.11,0.04,45.98
1,0.05,0.93,0.15,43.63
1,0.05,0.92,0.23,43.09
1,-0.15,0.99,0.23,43.31
1,-0.21,0.96,0.13,43.31
1,-0.21,0.98,0.07,47.06
1,-0.06,0.98,0.09,43.01
1,0.13,1.15,0.03,43.01
1,0.09,0.96,0.11,44.33
1,0.09,0.96,0.24,45.23
1,-0.09,0.95,0.24,45.23
1,-0.21,1.00,0.14,42.83
1,-0.21,1.03,0.10,40.31
1,-0.10,0.90,0.10,40.23
1,0.08,1.17,0.03,44.93
1,0.08,1.00,0.09,47.21
1,0.14,1.00,0.10,39.63
1,-0.05,0.90,0.23,39.63
1,-0.03,1.03,0.15,43.28
1,-0.21,1.03,0.11,40.87
1,-0.16,0.89,0.11,40.87
1,0.03,1.14,0.04,44.32
1,0.03,1.18,0.06,43.79
1,0.16,1.05,0.06,43.56
1,0.01,0.91,0.20,42.78
1,0.01,1.03,0.19,42.89
1,-0.20,1.03,0.19,43.15
1,-0.19,0.90,0.13,43.15
1,-0.20,1.06,0.05,41.85
1,-0.01,1.06,0.04,47.01
1,0.16,1.10,0.04,47.01
1,0.05,0.91,0.16,45.13
1,0.05,0.91,0.23,46.07
1,-0.16,1.00,0.23,45.64
1,-0.22,0.94,0.14,44.08
1,-0.22,1.00,0.07,43.88
1,-0.06,1.00,0.07,40.26
1,0.14,1.14,0.03,40.26
1,0.14,0.95,0.12,46.08
1,0.10,0.95,0.11,42.52
1,-0.12,0.96,0.23,42.52
1,-0.21,0.99,0.14,42.77
1,-0.21,0.99,0.09,42.32
1,-0.09,0.92,0.09,42.32
1,0.08,1.16,0.03,44.26
1,0.08,1.18,0.09,46.61
1,0.13,0.99,0.09,46.48
1,-0.06,0.92,0.23,42.56
1,-0.06,1.04,0.15,43.54
1,-0.20,1.04,0.17,49.43
1,-0.14,0.88,0.11,49.43
1,-0.15,1.14,0.03,46.63
1,0.04,1.14,0.07,46.86
1,0.15,1.04,0.07,46.86
1,-0.00,0.91,0.20,45.59
1,-0.00,0.91,0.20,45.90
1,-0.19,1.04,0.20,46.08
1,-0.18,0.89,0.13,43.73
1,-0.18,1.09,0.05,47.58
1,-0.01,1.09,0.05,45.66
1,0.16,1.08,0.05,45.66
1,0.17,0.91,0.16,46.86
1,0.04,0.91,0.15,44.02
1,-0.18,1.01,0.21,44.02
1,-0.20,0.94,0.14,41.15
1,-0.20,0.88,0.07,44.11
1,-0.06,1.01,0.07,44.01
1,0.14,1.12,0.03,43.23
1,0.14,0.94,0.13,42.29
1,0.08,0.94,0.13,41.69
1,-0.12,0.97,0.23,41.69
1,-0.09,0.98,0.14,47.05
1,-0.21,0.98,0.15,40.09
1,-0.09,0.94,0.08,40.09
1,0.09,1.15,0.03,40.21
1,0.09,1.15,0.10,43.38
1,0.12,0.97,0.10,43.76
1,-0.08,0.93,0.24,43.76
1,-0.08,0.89,0.15,45.89
1,-0.21,1.02,0.15,44.48
1,-0.13,0.89,0.11,44.48
1,-0.13,1.16,0.03,41.88
1,0.05,1.16,0.01,40.30
1,0.15,1.03,0.07,40.30
1,-0.02,0.91,0.22,43.87
1,-0.02,0.91,0.17,43.98
1,-0.20,1.04,0.17,43.98
1,-0.18,0.89,0.12,48.64
1,-0.18,0.92,0.05,39.91
1,0.00,1.10,0.05,40.25
1,0.16,1.07,0.05,48.09
1,0.16,0.91,0.17,45.99
1,0.02,0.91,0.15,42.23
1,-0.18,1.02,0.21,42.23
1,-0.14,0.92,0.14,41.53
1,-0.20,0.92,0.06,39.82
1,-0.04,1.03,0.06,39.82
1,0.15,1.12,0.04,43.66
1,0.15,1.12,0.14,42.78
1,0.07,0.93,0.14,42.96
1,-0.13,0.97,0.23,42.17
1,-0.13,0.97,0.14,43.71
1,-0.22,0.97,0.14,44.74
1,-0.08,0.97,0.09,44.74
1,-0.08,1.15,0.04,48.96
1,0.11,1.15,0.05,39.94
1,0.10,0.97,0.11,39.94
1,-0.09,0.94,0.24,41.50
1,-0.09,0.94,0.14,43.70
1,-0.21,1.01,0.14,43.25
1,-0.12,0.91,0.10,47.95
1,-0.12,1.15,0.03,48.67
1,0.07,1.15,0.03,43.16
1,0.14,1.01,0.08,43.16
1,0.15,0.91,0.22,46.09
1,-0.03,0.91,0.22,39.60
1,-0.20,1.03,0.16,39.60
1,-0.17,0.89,0.12,39.98
1,-0.17,0.89,0.04,37.26
1,0.02,1.12,0.04,37.44
1,0.15,1.06,0.06,42.14
1,0.15,1.10,0.19,45.51
1,0.01,0.92,0.19,46.86
1,-0.18,1.02,0.21,46.86
1,-0.18,0.91,0.13,49.22
1,-0.19,0.91,0.18,44.38
1,-0.03,1.05,0.05,44.38
1,-0.04,1.10,0.04,42.79
1,0.15,1.10,0.15,46.74
1,0.05,0.93,0.15,46.74
1,-0.14,0.99,0.22,38.79
1,-0.14,0.95,0.13,43.23
1,-0.21,0.95,0.13,43.05
1,-0.07,0.98,0.08,47.75
1,-0.07,1.14,0.03,41.14
1,0.11,1.14,0.03,46.60
1,0.10,0.97,0.11,46.60
1,0.10,0.95,0.24,40.86
1,-0.09,0.95,0.14,45.39
1,-0.21,1.01,0.14,45.39
1,-0.10,0.92,0.09,41.75
1,-0.10,0.90,0.03,43.16
1,0.08,1.15,0.03,43.19
1,0.14,0.99,0.08,48.68
1,0.14,0.91,0.23,48.27
1,-0.03,0.91,0.23,42.42
1,-0.21,1.02,0.16,42.42
1,-0.22,0.89,0.11,40.32
1,-0.15,0.89,0.11,44.74
1,0.03,1.12,0.04,44.74
1,0.15,1.05,0.07,40.03
1,0.15,1.05,0.19,42.02
1,0.00,0.92,0.19,42.07
1,-0.20,1.03,0.20,42.85
1,-0.20,1.03,0.13,43.56
1,-0.19,0.90,0.13,47.42
1,-0.02,1.06,0.06,47.42
1,-0.04,1.09,0.05,41.82
1,0.15,1.09,0.02,41.45
1,0.05,0.93,0.15,41.45
1,-0.15,1.00,0.22,46.38
1,-0.15,1.00,0.13,44.75
1,-0.21,0.95,0.13,45.22
1,-0.06,0.99,0.07,45.22
1,-0.06,0.94,0.01,44.38
1,0.13,1.13,0.01,39.60
1,0.09,0.96,0.12,39.60
1,0.09,0.97,0.23,42.13
1,-0.10,0.97,0.20,41.99
1,-0.21,0.99,0.14,41.99
1,-0.10,0.93,0.10,44.87
1,-0.10,0.93,0.03,46.40
1,0.08,1.14,0.03,46.40
1,0.13,0.99,0.09,44.76
1,0.13,0.99,0.23,44.84
1,-0.05,0.93,0.23,44.86
1,-0.21,1.02,0.16,45.65
1,-0.21,0.90,0.11,43.11
1,-0.14,0.90,0.10,43.47
1,0.04,1.14,0.04,43.47
1,0.03,1.03,0.07,40.72
1,0.15,1.03,0.20,38.13
1,-0.00,0.91,0.20,38.13
1,-0.19,1.04,0.19,52.09
1,-0.19,1.03,0.12,46.60
1,-0.18,0.91,0.12,46.92
1,-0.01,1.08,0.05,45.36
1,-0.01,1.07,0.05,41.56
1,0.15,1.07,0.05,42.13
1,0.03,0.93,0.17,42.13
1,0.02,1.01,0.22,43.80
1,-0.17,1.01,0.19,40.18
1,-0.19,0.94,0.13,40.18
1,-0.06,1.02,0.06,45.23
1,-0.06,1.02,0.04,48.79
1,0.13,1.13,0.04,48.73
1,0.08,0.95,0.12,45.60
1,0.08,0.97,0.23,43.07
1,-0.12,0.97,0.23,41.30
1,-0.21,0.98,0.14,41.30
1,-0.22,0.95,0.09,39.65
1,-0.09,0.95,0.10,41.01
1,0.10,1.14,0.04,41.01
1,0.11,0.98,0.10,42.19
1,0.11,0.98,0.23,39.57
1,-0.06,0.93,0.23,39.31
1,-0.20,1.01,0.14,41.66
2,-0.17,0.90,0.11,40.99
2,-0.00,1.10,0.05,43.92
2,-0.00,1.12,0.06,45.02
2,0.16,1.06,0.06,45.04
2,0.02,0.92,0.18,41.12
2,0.02,1.01,0.20,45.11
2,-0.17,1.01,0.20,39.49
2,-0.20,0.92,0.12,39.49
2,-0.23,1.03,0.06,44.75
2,-0.04,1.03,0.04,45.94
2,0.14,1.11,0.04,45.94
2,0.06,0.94,0.14,41.39
2,0.06,0.94,0.22,38.66
2,-0.12,0.98,0.22,39.06
2,-0.21,0.98,0.14,42.20
2,-0.21,0.96,0.08,45.21
2,-0.07,0.96,0.08,45.55
2,0.10,1.14,0.03,45.55
2,0.10,0.98,0.10,43.27
2,0.10,0.98,0.11,40.83
2,-0.08,0.94,0.23,40.83
2,-0.22,1.01,0.14,45.64
2,-0.22,1.01,0.11,44.64
2,-0.12,0.92,0.11,44.64
2,0.06,1.14,0.04,44.71
2,0.06,1.13,0.08,47.78
2,0.13,1.01,0.08,42.93
2,-0.03,0.93,0.22,42.93
2,-0.03,1.02,0.17,44.42
2,-0.20,1.02,0.18,47.60
2,-0.15,0.90,0.11,47.60
2,-0.18,1.11,0.04,42.84
2,0.01,1.11,0.06,41.97
2,0.15,1.05,0.06,41.97
2,0.02,0.92,0.18,41.81
2,0.02,0.90,0.20,50.08
2,-0.18,1.02,0.20,50.29
2,-0.18,0.92,0.13,46.38
2,-0.18,1.06,0.05,50.85
2,-0.03,1.06,0.05,44.74
2,0.13,1.09,0.04,44.74
2,0.18,0.95,0.14,44.18
2,0.06,0.95,0.16,44.35
2,-0.14,0.98,0.22,44.35
2,-0.20,0.96,0.13,45.57
2,-0.20,0.99,0.08,43.32
2,-0.08,0.99,0.08,43.25
2,0.11,1.13,0.04,40.90
2,0.11,0.97,0.12,43.71
2,0.10,0.97,0.12,45.17
2,-0.09,0.96,0.23,45.17
2,-0.08,1.00,0.14,46.56
2,-0.20,1.00,0.16,46.12
2,-0.10,0.93,0.10,46.12
2,0.07,1.13,0.04,39.87
2,0.07,1.13,0.10,42.41
2,0.12,1.00,0.10,42.52
2,-0.04,0.92,0.22,51.14
2,-0.04,0.91,0.15,41.79
2,-0.20,1.03,0.15,41.01
2,-0.14,0.90,0.11,41.01
2,-0.14,1.12,0.04,41.40
2,0.02,1.12,0.01,42.20
2,0.14,1.04,0.07,42.20
2,0.01,0.92,0.19,42.44
2,0.01,0.92,0.19,44.43
2,-0.17,1.03,0.19,44.43
2,-0.17,0.91,0.12,44.37
2,-0.17,0.88,0.04,41.60
2,-0.02,1.07,0.04,41.48
2,0.14,1.09,0.05,39.91
2,0.14,0.94,0.17,39.44
2,0.05,0.94,0.15,41.25
2,-0.15,0.99,0.21,41.25
2,-0.13,0.95,0.12,42.43
2,-0.19,0.95,0.07,42.74
2,-0.06,1.00,0.07,42.74
2,0.12,1.12,0.04,41.36
2,0.12,1.09,0.13,46.33
2,0.08,0.96,0.13,46.72
2,-0.10,0.96,0.22,45.94
2,-0.10,0.99,0.14,44.07
2,-0.20,0.99,0.14,43.48
2,-0.11,0.94,0.09,43.48
2,-0.10,1.14,0.03,39.58
2,0.08,1.14,0.04,38.08
2,0.11,1.00,0.10,38.08
2,-0.05,0.93,0.23,37.32
2,-0.05,0.89,0.16,42.83
2,-0.20,1.02,0.16,42.57
2,-0.14,0.91,0.11,41.78
2,-0.14,1.12,0.04,40.77
2,0.03,1.12,0.04,40.76
2,0.14,1.03,0.07,40.76
2,0.13,0.92,0.20,43.54
2,0.01,0.92,0.24,41.44
2,-0.18,1.02,0.18,41.44
2,-0.17,0.91,0.13,41.65
2,-0.17,0.91,0.04,46.34
2,-0.01,1.08,0.04,46.85
2,0.14,1.06,0.07,47.63
2,0.14,1.12,0.16,46.82
2,0.04,0.93,0.16,46.22
2,-0.16,1.01,0.20,46.22
2,-0.16,0.94,0.12,43.94
2,-0.19,0.94,0.12,43.42
2,-0.05,1.02,0.05,43.42
2,0.12,1.11,0.04,42.57
2,0.12,1.11,0.13,43.83
2,0.07,0.96,0.13,43.83
2,-0.11,0.97,0.22,36.66
2,-0.11,0.98,0.13,41.53
2,-0.20,0.98,0.13,41.51
2,-0.09,0.95,0.09,35.24
2,-0.09,1.13,0.03,43.72
2,0.09,1.13,0.03,47.98
2,0.11,0.98,0.10,47.98
2,0.12,0.94,0.23,45.47
2,-0.07,0.94,0.14,41.21
2,-0.20,1.01,0.14,41.21
2,-0.12,0.92,0.10,43.10
2,-0.12,0.88,0.04,44.52
2,0.04,1.13,0.04,44.41
2,0.14,1.02,0.08,45.20
2,0.14,0.92,0.21,47.99
2,-0.03,0.92,0.21,42.57
2,-0.19,1.02,0.17,42.57
2,-0.23,0.91,0.11,42.91
2,-0.16,0.91,0.11,44.83
2,-0.00,1.09,0.04,44.83
2,0.14,1.05,0.07,47.79
2,0.14,1.05,0.18,46.09
2,0.02,0.93,0.18,45.78
2,-0.16,1.02,0.20,43.43
2,-0.16,1.06,0.13,37.02
2,-0.18,0.93,0.13,40.62
2,-0.05,1.04,0.06,40.62
2,-0.06,1.10,0.04,47.38
2,0.13,1.10,0.02,44.41
2,0.07,0.95,0.14,44.41
2,-0.12,0.98,0.21,44.36
2,-0.12,0.98,0.15,41.74
2,-0.20,0.96,0.15,42.22
2,-0.08,0.98,0.07,42.22
2,-0.08,0.94,0.04,40.40
2,0.10,1.13,0.04,46.04
2,0.11,0.99,0.11,46.04
2,0.11,0.95,0.22,50.20
2,-0.08,0.95,0.21,44.71
2,-0.20,1.00,0.15,44.71
2,-0.24,0.93,0.09,39.77
2,-0.11,0.93,0.04,41.71
2,0.05,1.13,0.04,41.71
2,0.12,1.01,0.08,40.38
2,0.12,1.05,0.21,37.64
2,-0.03,0.93,0.21,37.76
2,-0.19,1.02,0.17,40.90
2,-0.19,0.92,0.12,41.65
2,-0.15,0.92,0.12,43.75
2,0.01,1.10,0.05,43.75
2,0.01,1.05,0.07,45.48
2,0.13,1.05,0.17,45.88
2,0.02,0.92,0.17,45.88
2,-0.17,1.00,0.20,42.67
2,-0.17,1.04,0.12,44.04
2,-0.18,0.91,0.12,43.98
2,-0.03,1.05,0.06,43.98
2,-0.03,1.09,0.06,42.09
2,0.13,1.09,0.06,43.61
2,0.06,0.94,0.16,43.61
2,0.06,0.98,0.21,39.66
2,-0.13,0.98,0.20,43.85
2,-0.20,0.97,0.13,43.85
2,-0.08,0.99,0.07,43.86
2,-0.08,0.99,0.04,40.39
2,0.10,1.11,0.04,40.28
2,0.09,0.97,0.11,43.41
2,0.09,0.95,0.23,44.01
2,-0.09,0.95,0.23,45.91
2,-0.20,0.99,0.14,45.91
2,-0.23,0.93,0.09,40.56
2,-0.11,0.93,0.10,39.86
2,0.06,1.14,0.04,39.86
2,0.11,0.99,0.09,41.87
2,0.11,0.99,0.21,43.80
2,-0.04,0.93,0.21,43.80
2,-0.19,1.02,0.15,41.87
2,-0.19,1.04,0.10,39.96
2,-0.15,0.91,0.10,41.62
2,0.02,1.11,0.05,41.62
2,0.02,1.03,0.08,45.50
2,0.14,1.03,0.07,45.11
2,0.01,0.93,0.19,45.11
2,0.01,1.02,0.18,41.24
2,-0.18,1.02,0.12,44.28
2,-0.17,0.91,0.12,44.28
2,-0.03,1.07,0.06,42.01
2,-0.03,1.07,0.06,42.25
2,0.14,1.07,0.06,42.82
2,0.04,0.94,0.16,40.47
2,0.04,1.00,0.21,45.97
2,-0.15,1.00,0.21,47.48
2,-0.19,0.94,0.13,47.48
2,-0.25,1.01,0.07,42.93
2,-0.06,1.01,0.11,41.05
2,0.11,1.11,0.05,41.05
2,0.08,0.96,0.13,42.78
2,0.08,0.96,0.22,45.24
2,-0.09,0.96,0.22,44.87
2,-0.20,0.99,0.13,38.60
2,-0.20,0.95,0.09,40.07
2,-0.10,0.95,0.09,41.99
2,0.08,1.12,0.04,41.99
2,0.11,0.99,0.10,47.54
2,0.11,0.99,0.08,50.22
2,-0.04,0.94,0.21,50.22
2,-0.19,1.01,0.15,40.68
2,-0.19,1.01,0.11,46.58
2,-0.14,0.91,0.11,46.39
2,0.03,1.12,0.04,44.82
2,0.03,1.09,0.08,43.40
2,0.13,1.02,0.08,42.65
2,-0.01,0.93,0.20,42.65
2,-0.01,1.03,0.19,40.65
2,-0.19,1.03,0.24,43.90
2,-0.18,0.91,0.11,43.90
2,-0.02,1.08,0.05,37.81
2,-0.02,1.08,0.07,46.31
2,0.13,1.06,0.07,46.31
2,0.02,0.94,0.17,44.47
2,0.02,0.88,0.21,42.10
2,-0.15,1.00,0.21,41.77
2,-0.18,0.94,0.12,45.68
3,-0.09,0.97,0.08,42.49
3,0.08,1.12,0.04,48.76
3,0.08,1.11,0.10,46.05
3,0.11,0.99,0.10,44.33
3,-0.07,0.94,0.23,44.33
3,-0.07,1.00,0.14,41.77
3,-0.20,1.00,0.16,40.93
3,-0.12,0.93,0.10,40.93
3,0.04,1.12,0.04,44.93
3,0.04,1.12,0.09,40.71
3,0.12,1.01,0.09,40.71
3,-0.03,0.93,0.20,47.45
3,-0.03,0.89,0.17,43.32
3,-0.18,1.02,0.17,43.05
3,-0.16,0.92,0.12,45.40
3,-0.16,1.08,0.04,40.02
3,-0.01,1.08,0.00,44.04
3,0.13,1.05,0.07,44.04
3,0.15,0.94,0.17,42.09
3,0.03,0.94,0.19,42.38
3,-0.16,1.01,0.19,42.38
3,-0.19,0.93,0.13,40.79
3,-0.19,0.91,0.06,38.38
3,-0.05,1.04,0.06,38.37
3,0.12,1.09,0.06,43.85
3,0.12,0.95,0.15,42.33
3,0.06,0.95,0.15,43.03
3,-0.12,0.98,0.21,43.03
3,-0.06,0.97,0.13,42.30
3,-0.19,0.97,0.15,40.48
3,-0.08,0.99,0.09,40.48
3,0.09,1.12,0.05,40.08
3,0.09,1.12,0.12,48.51
3,0.10,0.97,0.12,48.75
3,-0.07,0.95,0.22,45.62
3,-0.07,1.00,0.15,44.90
3,-0.20,1.00,0.15,43.99
3,-0.11,0.94,0.09,43.99
3,-0.07,1.12,0.03,44.52
3,0.05,1.12,0.02,44.72
3,0.12,1.01,0.09,44.72
3,-0.03,0.94,0.22,45.23
3,-0.03,0.94,0.17,40.32
3,-0.19,1.01,0.17,39.92
3,-0.15,0.92,0.11,43.05
3,-0.15,0.91,0.04,44.45
3,0.01,1.10,0.04,42.84
3,0.13,1.04,0.07,42.84
3,0.13,0.94,0.19,41.63
3,0.02,0.94,0.18,39.49
3,-0.15,1.01,0.18,39.49
3,-0.18,0.93,0.11,40.92
3,-0.18,0.93,0.05,45.77
3,-0.03,1.06,0.05,45.77
3,0.13,1.07,0.06,42.53
3,0.13,1.08,0.15,48.71
3,0.05,0.95,0.15,48.69
3,-0.13,1.00,0.21,44.78
3,-0.13,0.96,0.13,39.70
3,-0.19,0.96,0.13,45.05
3,-0.07,0.99,0.07,45.05
3,-0.08,1.11,0.04,41.74
3,0.10,1.11,0.10,41.56
3,0.08,0.97,0.10,41.56
3,-0.08,0.96,0.22,39.01
3,-0.08,0.99,0.14,44.89
3,-0.20,0.99,0.14,45.02
3,-0.11,0.96,0.10,39.54
3,-0.11,1.12,0.05,46.16
3,0.07,1.12,0.05,45.67
3,0.11,1.00,0.09,45.67
3,0.09,0.93,0.21,38.54
3,-0.04,0.93,0.22,43.70
3,-0.19,1.01,0.16,43.70
3,-0.14,0.91,0.10,43.38
3,-0.14,0.91,0.05,43.34
3,0.02,1.11,0.05,43.27
3,0.14,1.03,0.07,39.35
3,0.14,0.94,0.19,40.14
3,0.01,0.94,0.19,40.41
3,-0.17,1.02,0.18,40.41
3,-0.18,0.92,0.12,42.31
3,-0.18,0.92,0.12,42.59
3,-0.02,1.06,0.06,42.59
3,0.13,1.06,0.06,43.76
3,0.13,1.06,0.16,39.68
3,0.04,0.94,0.16,39.47
3,-0.13,1.00,0.20,38.69
3,-0.13,1.01,0.14,43.60
3,-0.19,0.95,0.14,42.82
3,-0.06,1.01,0.07,42.82
3,-0.06,1.09,0.05,42.18
3,0.11,1.09,0.06,47.26
3,0.07,0.97,0.12,47.26
3,0.09,0.96,0.21,40.35
3,-0.10,0.96,0.13,44.95
3,-0.19,0.98,0.13,44.95
3,-0.10,0.96,0.08,44.18
3,-0.10,1.00,0.04,40.73
3,0.08,1.12,0.04,41.14
3,0.10,1.00,0.11,40.35
3,0.10,0.94,0.22,45.55
3,-0.05,0.94,0.22,44.57
3,-0.19,1.01,0.16,44.57
3,-0.14,0.93,0.11,48.60
3,-0.14,0.93,0.04,41.09
3,0.03,1.11,0.04,41.09
3,0.13,1.03,0.09,48.41
3,0.13,1.06,0.19,41.48
3,-0.01,0.93,0.19,41.71
3,-0.18,1.02,0.18,42.49
3,-0.18,0.91,0.11,41.02
3,-0.17,0.91,0.11,37.93
3,-0.02,1.08,0.04,37.93
3,-0.05,1.06,0.07,40.84
3,0.13,1.06,0.11,41.43
3,0.02,0.94,0.17,41.43
3,-0.15,1.00,0.20,47.07
3,-0.15,1.00,0.13,46.37
3,-0.18,0.96,0.13,46.20
3,-0.06,1.00,0.07,39.93
3,-0.06,1.02,0.05,40.15
3,0.11,1.09,0.05,41.37
3,0.07,0.97,0.12,41.37
3,0.08,0.98,0.20,44.30
3,-0.11,0.98,0.20,41.77
3,-0.19,0.98,0.14,41.77
3,-0.09,0.97,0.08,45.88
3,-0.09,0.97,0.05,48.05
3,0.08,1.10,0.05,48.05
3,0.10,0.99,0.10,41.56
3,0.10,0.95,0.22,43.90
3,-0.05,0.95,0.22,40.37
3,-0.19,1.01,0.14,40.37
3,-0.19,0.93,0.10,37.93
3,-0.12,0.93,0.11,42.26
3,0.03,1.12,0.04,42.26
3,0.05,1.02,0.09,45.03
3,0.12,1.02,0.21,40.66
3,-0.02,0.93,0.21,40.66
3,-0.18,1.02,0.16,45.25
3,-0.18,1.05,0.12,47.84
3,-0.16,0.92,0.12,47.79
3,-0.00,1.08,0.05,46.22
3,-0.00,1.05,0.07,47.15
3,0.13,1.05,0.07,38.65
3,0.03,0.94,0.17,38.65
3,0.03,1.00,0.19,38.66
3,-0.16,1.00,0.19,47.18
3,-0.18,0.94,0.13,47.18
3,-0.05,1.04,0.07,44.57
3,-0.05,1.02,0.05,44.03
3,0.12,1.08,0.05,43.85
3,0.07,0.96,0.14,42.28
3,0.07,0.98,0.21,44.81
3,-0.11,0.98,0.21,39.29
3,-0.20,0.96,0.13,39.29
3,-0.22,0.99,0.08,44.57
3,-0.09,0.99,0.11,43.27
3,0.08,1.10,0.05,43.27
3,0.08,0.98,0.11,45.32
3,0.08,0.98,0.22,44.47
3,-0.07,0.95,0.22,44.45
3,-0.19,1.00,0.15,38.96
3,-0.19,1.01,0.09,43.23
3,-0.11,0.95,0.09,43.51
3,0.05,1.11,0.05,43.51
3,0.05,1.00,0.10,43.77
3,0.12,1.00,0.09,45.69
3,-0.03,0.94,0.21,45.69
3,-0.19,1.02,0.16,46.25
3,-0.19,1.02,0.11,45.28
3,-0.15,0.92,0.11,45.28
3,0.01,1.09,0.05,40.69
3,0.01,1.10,0.08,40.52
3,0.13,1.04,0.08,40.05
3,0.01,0.94,0.18,43.18
3,0.01,1.01,0.18,44.39
3,-0.16,1.01,0.18,44.70
3,-0.18,0.93,0.12,44.70
3,-0.16,1.05,0.05,41.04
3,-0.04,1.05,0.06,47.52
3,0.12,1.07,0.06,47.52
3,0.05,0.96,0.15,40.84
3,0.05,0.99,0.20,40.20
3,-0.13,0.99,0.20,40.66
3,-0.19,0.96,0.13,45.36
3,-0.19,0.99,0.08,44.77
3,-0.07,0.99,0.08,41.01
3,0.10,1.10,0.05,41.01
3,0.08,0.98,0.12,42.28
3,0.08,0.98,0.09,43.60
3,-0.08,0.96,0.21,43.60
3,-0.19,0.99,0.13,41.10
3,-0.19,0.99,0.09,42.64
3,-0.10,0.96,0.09,42.85
3,0.05,1.11,0.05,43.64
3,0.05,1.00,0.10,41.70
3,0.11,1.00,0.10,43.15
3,-0.03,0.94,0.21,43.15
3,-0.06,1.02,0.15,40.13
3,-0.18,1.02,0.16,44.26
3,-0.13,0.92,0.10,44.26
3,0.01,1.10,0.05,43.10
3,0.01,1.10,0.09,44.53
3,0.13,1.02,0.09,44.11
3,0.01,0.95,0.19,40.97
3,0.01,0.95,0.19,40.69
3,-0.17,1.01,0.19,41.56
3,-0.17,0.93,0.12,41.56
3,-0.17,1.06,0.05,40.11
3,-0.03,1.06,0.00,40.78
3,0.12,1.06,0.07,40.78
3,0.05,0.95,0.16,37.89
3,0.05,0.95,0.19,43.25
3,-0.13,0.99,0.19,43.25
3,-0.19,0.96,0.13,42.78
3,-0.19,0.94,0.07,45.59
3,-0.07,1.01,0.07,45.96
3,0.10,1.08,0.06,46.75
3,0.10,0.98,0.13,40.33
3,0.08,0.98,0.14,44.08
3,-0.09,0.97,0.20,44.08
3,-0.07,0.98,0.13,45.37
3,-0.19,0.98,0.09,41.72
3,-0.10,0.97,0.09,41.72
3,0.06,1.10,0.05,42.02
3,0.06,1.11,0.10,41.89
3,0.11,0.99,0.10,41.74
3,-0.05,0.94,0.21,41.74
3,-0.05,1.00,0.16,42.49
3,-0.19,1.00,0.16,46.96
3,-0.13,0.94,0.11,46.96
4,-0.03,1.08,0.06,40.78
4,0.12,1.05,0.08,43.13
4,0.12,0.94,0.16,39.65
4,0.04,0.94,0.16,39.07
4,-0.14,1.00,0.19,39.07
4,-0.18,0.95,0.13,45.25
4,-0.18,0.95,0.13,46.01
4,-0.06,1.03,0.06,46.01
4,0.11,1.07,0.06,41.47
4,0.11,1.09,0.14,43.85
4,0.07,0.96,0.14,43.82
4,-0.10,0.98,0.20,45.39
4,-0.10,0.97,0.13,43.74
4,-0.19,0.97,0.13,43.32
4,-0.08,0.98,0.08,43.32
4,-0.11,1.10,0.06,44.68
4,0.08,1.10,0.04,42.41
4,0.10,0.99,0.10,42.41
4,-0.06,0.95,0.22,40.42
4,-0.06,0.95,0.14,38.94
4,-0.19,1.00,0.14,38.83
4,-0.12,0.94,0.10,42.75
4,-0.12,0.97,0.04,42.77
4,0.03,1.10,0.04,44.75
4,0.11,1.02,0.08,44.75
4,0.11,0.94,0.20,47.23
4,-0.01,0.94,0.23,46.30
4,-0.18,1.01,0.16,46.30
4,-0.16,0.93,0.10,43.42
4,-0.16,0.93,0.05,46.18
4,-0.00,1.08,0.05,46.18
4,0.13,1.05,0.07,46.40
4,0.13,1.01,0.17,40.66
4,0.03,0.95,0.17,40.07
4,-0.15,1.00,0.19,43.20
4,-0.15,0.94,0.12,42.25
4,-0.18,0.94,0.07,44.68
4,-0.05,1.04,0.07,44.68
4,-0.02,1.07,0.07,42.71
4,0.10,1.07,0.15,43.69
4,0.07,0.96,0.15,43.69
4,-0.11,0.99,0.20,42.66
4,-0.11,0.97,0.13,40.44
4,-0.18,0.97,0.13,40.01
4,-0.08,0.99,0.08,47.84
4,-0.08,1.10,0.05,42.97
4,0.08,1.10,0.05,40.02
4,0.09,0.98,0.12,40.02
4,0.12,0.95,0.22,42.90
4,-0.07,0.95,0.20,45.76
4,-0.19,0.99,0.14,45.76
4,-0.11,0.95,0.09,43.02
4,-0.11,0.95,0.04,46.69
4,0.05,1.11,0.04,46.85
4,0.11,1.01,0.09,41.36
4,0.11,0.94,0.21,41.67
4,-0.02,0.94,0.21,43.15
4,-0.18,1.01,0.15,43.15
4,-0.15,0.92,0.11,46.18
4,-0.15,0.92,0.11,45.17
4,-0.01,1.09,0.05,45.17
